shape,demo,method,parameters_per_dim,total_parameters,mean_l2,rmse,max_l2,frobenius_per_point,mean_l2_over_bbox_percent
Angle,0,piecewise,3,6,7.891077071603052,9.198033554412445,22.005669725898006,0.29086736026597626,13.413276039235368
Angle,1,piecewise,3,6,7.779636985308949,8.949043707178339,18.92645570729732,0.28299360995080475,13.040801874046966
Angle,2,piecewise,3,6,8.695405181847798,10.552179240243206,24.620666794784363,0.3336892067751363,14.505729328511658
Angle,3,piecewise,3,6,8.736407775958414,10.275961790106544,21.90449810201072,0.32495444405597795,13.843117454289207
Angle,4,piecewise,3,6,8.507843100683877,9.892955030863648,20.274147287722897,0.31284270687150495,13.469681373144871
Angle,5,piecewise,3,6,8.653759365221614,10.185578835739934,21.777228524441703,0.3220962840814424,14.006821222746899
Angle,6,piecewise,3,6,8.42371217975955,10.161222965294334,21.580170949620218,0.32132608383140165,13.33729398449627
BendedLine,0,piecewise,3,6,6.741295593067751,7.48980549952005,17.95229850000099,0.2368484461013852,15.706404541130082
BendedLine,1,piecewise,3,6,7.228174003474357,8.675408346500413,18.777484658103454,0.27434050006976557,16.213189119816516
BendedLine,2,piecewise,3,6,7.679781376124403,8.819319597001261,18.487680079353456,0.27889137339482284,16.319253305945477
BendedLine,3,piecewise,3,6,7.624762269792374,8.481038235827466,18.751235786630453,0.2681939774819104,15.775217488619674
BendedLine,4,piecewise,3,6,8.26507097640893,9.317588535876556,18.15765244611966,0.2946480207364343,16.168827942249045
BendedLine,5,piecewise,3,6,8.919197630694834,9.935664535435697,19.99523145442816,0.31419329999335543,16.444531722268152
BendedLine,6,piecewise,3,6,8.15801340447726,9.526450838021132,21.876916658698164,0.3012528266576657,15.787478174449388
CShape,0,piecewise,3,6,8.633109643541985,9.695394211238131,19.373687041752962,0.30659528520724166,16.182939806668376
CShape,1,piecewise,3,6,9.853170810513955,11.096803860154418,21.53231005140503,0.35091174946236553,16.130296293396658
CShape,2,piecewise,3,6,9.843852706536007,11.062876699383738,22.492808168087315,0.3498388784365849,15.479928501694413
CShape,3,piecewise,3,6,9.066502276908189,10.228393519396299,22.531964542998992,0.3234502032579794,15.687678558422855
CShape,4,piecewise,3,6,11.011267191310937,12.415188189551676,24.168727207551854,0.3926027225860556,16.081832878275748
CShape,5,piecewise,3,6,10.212749391289355,11.498279670177698,23.75761342772047,0.36360752931371176,16.06544893387122
CShape,6,piecewise,3,6,10.528755918765349,12.057170646984991,27.31074621658099,0.3812812138179855,15.933109761876487
DoubleBendedLine,0,piecewise,3,6,7.529991976025067,8.963036899788817,21.282321943183607,0.2834361135546702,16.866679834747703
DoubleBendedLine,1,piecewise,3,6,8.29882773736101,9.651986636699831,23.318970588260903,0.3052226171747961,16.97217047885237
DoubleBendedLine,2,piecewise,3,6,8.067972887208944,9.354172801245452,22.94189966958353,0.2958049167873316,16.382770683348397
