method,parameters_per_dim,demonstrations,mean_l2_mean,mean_l2_std,rmse_mean,rmse_std,max_l2_mean,max_l2_std,frobenius_per_point_mean,frobenius_per_point_std,mean_l2_over_bbox_percent_mean,mean_l2_over_bbox_percent_std
piecewise,3,210,7.969692953129919,2.759226866590824,8.931343155580368,3.060847878264881,17.92977226019917,5.654661328384927,0.2824338693618955,0.09679250866610817,14.684170705939648,3.329330303203582
piecewise,7,210,3.396172059732914,1.095375194545203,4.009414661839835,1.2735472502662841,9.485957456196346,3.056512847737594,0.12678882415487666,0.04027310018685939,6.2730393558392885,1.3417767506943175
piecewise,12,210,1.9696566653211103,0.6289780528043284,2.386606564935313,0.7571140355702975,5.9854514310006355,1.9734498725098306,0.07547112623906135,0.023942048008838795,3.6399770778669853,0.7656724948152827
piecewise,17,210,1.3855184632657762,0.44499879991346913,1.6894047726393393,0.5405865719890973,4.299966247433228,1.3986476183695435,0.05342366971499224,0.017094848399881277,2.559673067758895,0.5425678798723229
piecewise,22,210,1.0783793511251845,0.3466393117704744,1.3204292331817291,0.42283575171997223,3.3935778292666035,1.1058990315127328,0.041755638659238446,0.013371240515845715,1.9922719533678133,0.42301080370037797
bernstein,3,210,6.176183412425696,3.6509887812873907,6.78894425310306,3.959580509968315,13.578848384890554,6.14695180007768,0.2146852674771631,0.1252129299031092,11.208795368531048,5.631866974761919
bernstein,7,210,0.9599876449044541,0.5988592107776075,1.0731947260262775,0.663333835691806,3.1223508528792743,2.1054348010684136,0.033937397071234214,0.020976457698420006,1.7863995029548732,1.0220866915881963
bernstein,12,210,0.2840718309246414,0.1261308478200455,0.324242435671804,0.1410609801867818,0.8904607166236244,0.4674581551804025,0.010253446108035287,0.004460739863661144,0.5343496199450126,0.21718441547508893
bernstein,17,210,0.1425526931545538,0.062014064662508514,0.16726639172432584,0.07483889040957398,0.41898086866543016,0.21372287131712617,0.005289427738468087,0.002366613512539854,0.2664468357156317,0.0975004573701008
bernstein,22,210,0.09928812601463978,0.04318062206583116,0.11829085842621484,0.05375309049756541,0.29428693944144324,0.16308969633195616,0.003740685390033597,0.001699821972454603,0.18634233420734908,0.06888277081089511
rbf,3,210,16.5088830581164,4.351442715139626,19.989524094033257,5.261990397405898,36.1645169091112,9.937612881862254,0.6321242547995891,0.16639874681737205,30.909140259809977,5.055651561577817
rbf,7,210,1.7867955568400855,0.6103866426361212,2.0344840884409123,0.6656148588926541,4.187854335559781,1.409848469920356,0.06433603582844728,0.021048589985523683,3.3042830503470255,0.8109186994905007
rbf,12,210,0.26459753332396685,0.0805043359627399,0.35745177330851413,0.09970753347842763,2.293947326819972,0.7420912202383979,0.011303617573210863,0.0031530290566932255,0.4977365339934675,0.1181955585046155
rbf,17,210,0.12290573952257128,0.037808366886982865,0.15385624113568083,0.046036573331735955,0.9243714441254393,0.3536903879334088,0.004865361542208427,0.0014558042739765199,0.23126841258760594,0.05527895294907899
rbf,22,210,0.0547752095727632,0.021519592589540133,0.06397955264496913,0.025690754562624006,0.2702864525317522,0.1389758632830147,0.0020232111003675264,0.0008124129922625475,0.10307454919148108,0.033484476201898844
fourier,3,210,5.178191472648946,3.5224683154577154,5.794965151311352,3.878118620659946,10.687375434813056,6.432924042139941,0.18325288839446163,0.12263687877595957,9.397609425640772,5.519757912992303
fourier,7,210,0.5589713430167933,0.3271533660222916,0.6310960379935284,0.36328049153131914,1.4500238661099938,0.744669642459379,0.019957009023677096,0.011487937827444786,1.045034313355256,0.5527534232643027
fourier,12,210,0.1864358941177291,0.07601540656719458,0.21693497248062907,0.08918003260536021,0.6767122387876855,0.33678983185918515,0.0068600861718473545,0.0028201202484101824,0.34947824869680183,0.1212682282060508
fourier,17,210,0.09434179628082157,0.03588943257143906,0.11100858860319696,0.043455893822385856,0.43216917132974025,0.2424492785270538,0.003510399798267119,0.001374196022371799,0.17793354688970575,0.05824187263338816
fourier,22,210,0.05026722437859894,0.019178311599933207,0.060291474844421884,0.02311889813125413,0.31258895975560963,0.19223537289234965,0.0019065838399911915,0.0007310837508817343,0.09438991515422188,0.030075057173151218
fast,3,210,5.178697683356844,3.523554707817538,5.795217090030054,3.8791861370925056,10.68571324520916,6.432561347390456,0.18326085539628043,0.12267063660962502,9.398513591280269,5.521705191560568
fast,7,210,0.5584391622913184,0.3270351520771339,0.6303305744695682,0.36301115714594917,1.447172582106349,0.7421615954385933,0.01993280294166216,0.01147942072634508,1.0440594480339682,0.5525139205769504
fast,12,210,0.18655215176632803,0.07599980540423334,0.21704943023816878,0.08916475006609534,0.6769888678230158,0.33628041393958286,0.006863705643944363,0.002819636972085103,0.3496724837239587,0.12114417960026032
fast,17,210,0.09440723152131489,0.03590058641887981,0.11105177485278377,0.043465025371168066,0.4314557507643603,0.24134751288760123,0.0035117654673900668,0.001374484787298966,0.17804119399595414,0.0582117468450443
fast,22,210,0.0502656625146856,0.019205504174589997,0.06024490934512643,0.023134340304445274,0.31138404329394365,0.19125838647103058,0.0019051113096096258,0.0007315720752748023,0.0943801123267251,0.03010832135094372
spline,3,210,6.176183412425697,3.6509887812873902,6.78894425310306,3.959580509968315,13.578848384890552,6.146951800077679,0.2146852674771631,0.1252129299031092,11.208795368531048,5.631866974761919
spline,7,210,0.8783036953082876,0.5292407382890159,1.0033101533701678,0.5981963079939892,2.6350202008260144,1.4180897245214987,0.031727452842225924,0.01891662821164595,1.6233041137606825,0.8710541798251773
spline,12,210,0.22883772305896552,0.10331736839723103,0.2694335842937602,0.12427148805897718,0.6886639108400684,0.32361065316288395,0.008520238045112519,0.00392980950484785,0.4275626617201635,0.1696828604701444
spline,17,210,0.1065150310244025,0.04151308997069076,0.12671202879549767,0.05145965755844348,0.34325852938531803,0.15718841478475082,0.004006986179346147,0.0016272972549698072,0.20011509277024445,0.06386975228436462
spline,22,210,0.058989089005766646,0.023618199837830024,0.07094084783172604,0.030853579910171604,0.19885158251595567,0.10505119455010384,0.002243346582916716,0.0009756758648615557,0.11075902578175312,0.03635677189519701
spline_rest,3,210,6.554169775179197,3.1229974082468437,7.338342831782902,3.4667002846961132,14.1625742195558,6.084724167322099,0.23205877599603833,0.1096266886479388,12.013611047004298,4.717604821414427
spline_rest,7,210,0.7404162212127149,0.4220154856662459,0.8520544604586368,0.48549731825664394,2.1170143534583334,1.1642803505440422,0.026944327855551693,0.015352773235946433,1.3830543845515195,0.7251426806922266
spline_rest,12,210,0.2148368706589136,0.08826115909212619,0.2546749917517503,0.10558900522160286,0.8070061475262849,0.4189064727455728,0.008053530370201263,0.003339017523716771,0.4021119103022577,0.13964041655128226
spline_rest,17,210,0.10762985650262666,0.04560850916811128,0.13213225586013969,0.05914265331405233,0.5266780341931989,0.31603657238699673,0.0041783888089417225,0.0018702549133811103,0.2028060768481341,0.07472375426940561
spline_rest,22,210,0.06072845924905923,0.0229789176505573,0.07668264308378434,0.03086988401032254,0.37689398540121755,0.2398983243940214,0.0024249180914651643,0.0009761914457783203,0.11445995009614066,0.036686043948894374
